"day","year","week","consumption","production","price","wind"
2019-12-30,"2020",1,229145,91337,NA,56898
2020-01-06,"2020",2,252546,79878,NA,37934
2020-01-13,"2020",3,251401,87847,NA,42395
2020-01-20,"2020",4,252179,102819,NA,57793
2020-01-27,"2020",5,250556,75660,NA,31121
2020-02-03,"2020",6,249938,80931,NA,31216
2020-02-10,"2020",7,248463,114543,NA,54366
2020-02-17,"2020",8,246439,111001,NA,59328
2020-02-24,"2020",9,247274,105545,NA,36986
2020-03-02,"2020",10,242221,79795,NA,17361
2020-03-09,"2020",11,236118,103759,NA,48916
2020-03-16,"2020",12,227812,87780,NA,33754
2020-03-23,"2020",13,217589,61287,NA,14823
2020-03-30,"2020",14,214308,80975,NA,43123
2020-04-06,"2020",15,200599,68646,NA,28447
2020-04-13,"2020",16,200263,85185,NA,47352
2020-04-20,"2020",17,202966,68874,NA,16183
2020-04-27,"2020",18,198914,67222,NA,14306
2020-05-04,"2020",19,202378,76591,NA,15675
2020-05-11,"2020",20,207712,107633,NA,44541
2020-05-18,"2020",21,208231,79648,NA,21512
2020-05-25,"2020",22,202606,82084,NA,26259
2020-06-01,"2020",23,204130,101315,NA,19789
2020-06-08,"2020",24,212913,101710,NA,17963
2020-06-15,"2020",25,216154,87491,NA,9080
2020-06-22,"2020",26,211140,99074,NA,8708
2020-06-29,"2020",27,211671,103761,NA,23072
2020-07-06,"2020",28,202429,101648,NA,29650
2020-07-13,"2020",29,206576,103088,NA,6528
2020-07-20,"2020",30,209410,106943,NA,25232
2020-07-27,"2020",31,213832,98503,NA,22756
2020-08-03,"2020",32,219009,104909,NA,6184
2020-08-10,"2020",33,217402,109442,NA,6034
2020-08-17,"2020",34,219317,94031,NA,12920
2020-08-24,"2020",35,214239,112373,NA,15498
2020-08-31,"2020",36,218303,107588,NA,17673
2020-09-07,"2020",37,221935,125097,NA,39926
2020-09-14,"2020",38,221901,109042,NA,26027
2020-09-21,"2020",39,221856,108560,NA,29979
2020-09-28,"2020",40,219022,99432,NA,31941
2020-10-05,"2020",41,221202,59571,NA,22832
2020-10-12,"2020",42,233020,92324,NA,20988
2020-10-19,"2020",43,238112,103066,NA,36109
2020-10-26,"2020",44,235196,98558,NA,22639
2020-11-02,"2020",45,237976,83801,NA,34365
2020-11-09,"2020",46,243736,96493,NA,9594
2020-11-16,"2020",47,248028,114623,NA,51821
2020-11-23,"2020",48,250903,103960,NA,32879
2020-11-30,"2020",49,258727,129344,NA,43374
2020-12-07,"2020",50,266124,136236,NA,41213
2020-12-14,"2020",51,256337,107638,NA,23367
2020-12-21,"2020",52,232835,73407,NA,30656
2020-12-28,"2020",53,228943,72911,NA,25941
2021-01-04,"2021",1,252177,72922,53.69,12689
2021-01-11,"2021",2,271552,85664,59.96,20235
2021-01-18,"2021",3,269506,82115,52.26,30459
2021-01-25,"2021",4,254912,97885,55.75,23262
2021-02-01,"2021",5,271513,78975,62.82,14327
2021-02-08,"2021",6,284038,118952,69.52,32814
2021-02-15,"2021",7,269728,82300,62.79,15316
2021-02-22,"2021",8,242726,74195,42.11,31313
2021-03-01,"2021",9,243075,72084,48.41,26888
2021-03-08,"2021",10,239169,102535,46.05,35336
2021-03-15,"2021",11,240567,83743,52.3,19435
